 1 Centrale kraftværker DK1
 2 Centrale kraftværker DK2
 3 Decentrale kraftværker DK1
 4 Decentrale kraftværker DK2
 5 Vindmøller DK1
 6 Vindmøller DK2
 7 Udveksling Jylland-Norge
 8 Udveksling Jylland-Sverige
 9 Udveksling Jylland-Tyskland
10 Udveksling Sjælland-Sverige
11 Udveksling Sjælland-Tyskland
12 Udveksling Bornholm-Sverige
13 Udveksling Fyn-Sjaelland
14 Temperatur i Malling
15 Vindhastighed i Malling
16 CO2 udledning
17 Havmøller DK
18 Landmøller DK
19 Solceller DK1
20 Solceller DK2
 
Dato og tid      ;      1 ;      2 ;      3 ;      4 ;      5 ;      6 ;      7 ;      8 ;      9 ;     10 ;     11 ;     12 ;     13 ;     14 ;     15 ;     16 ;     17 ;     18 ;     19 ;     20 ;
2018-11-06 00:00 ;    449 ;    382 ;    307 ;    110 ;    839 ;    287 ;    916 ;    221 ;   -611 ;   1010 ;   -585 ;      7 ;    -42 ;      9 ;      7 ;    148 ;    460 ;    667 ;      0 ;      0 ;
2018-11-06 00:05 ;    445 ;    370 ;    298 ;    113 ;    855 ;    294 ;    868 ;    279 ;   -510 ;    919 ;   -585 ;      6 ;   -122 ;      9 ;      4 ;    144 ;    480 ;    670 ;      0 ;      0 ;
2018-11-06 00:10 ;    421 ;    359 ;    284 ;    115 ;    863 ;    306 ;    820 ;    339 ;   -480 ;    902 ;   -585 ;      5 ;   -125 ;      9 ;      3 ;    139 ;    518 ;    650 ;      0 ;      0 ;
2018-11-06 00:15 ;    406 ;    353 ;    271 ;    109 ;    858 ;    307 ;    772 ;    400 ;   -468 ;    904 ;   -585 ;      4 ;   -125 ;      9 ;      3 ;    137 ;    513 ;    652 ;      0 ;      0 ;
2018-11-06 00:20 ;    398 ;    365 ;    257 ;    111 ;    889 ;    307 ;    770 ;    404 ;   -416 ;    777 ;   -585 ;      3 ;   -220 ;      9 ;      4 ;    137 ;    520 ;    676 ;      0 ;      0 ;
2018-11-06 00:25 ;    384 ;    364 ;    255 ;    110 ;    889 ;    313 ;    770 ;    403 ;   -416 ;    781 ;   -585 ;      3 ;   -224 ;      9 ;      4 ;    133 ;    544 ;    658 ;      0 ;      0 ;
2018-11-06 00:30 ;    371 ;    357 ;    257 ;    111 ;    888 ;    309 ;    770 ;    404 ;   -438 ;    770 ;   -585 ;      4 ;   -224 ;      9 ;      4 ;    132 ;    540 ;    657 ;      0 ;      0 ;
2018-11-06 00:35 ;    359 ;    361 ;    256 ;    113 ;    896 ;    316 ;    769 ;    404 ;   -439 ;    755 ;   -585 ;      4 ;   -224 ;      9 ;      5 ;    130 ;    548 ;    664 ;      0 ;      0 ;
2018-11-06 00:40 ;    364 ;    359 ;    256 ;    110 ;    902 ;    302 ;    772 ;    404 ;   -403 ;    769 ;   -585 ;      3 ;   -224 ;      9 ;      6 ;    129 ;    555 ;    649 ;      0 ;      0 ;
2018-11-06 00:45 ;    354 ;    363 ;    256 ;    111 ;    878 ;    301 ;    772 ;    404 ;   -395 ;    767 ;   -585 ;      3 ;   -224 ;      9 ;      5 ;    128 ;    548 ;    631 ;      0 ;      0 ;
2018-11-06 00:50 ;    348 ;    371 ;    254 ;    111 ;    842 ;    308 ;    762 ;    395 ;   -365 ;    742 ;   -585 ;      3 ;   -221 ;     10 ;      6 ;    128 ;    535 ;    615 ;      0 ;      0 ;
2018-11-06 00:55 ;    365 ;    389 ;    257 ;    111 ;    845 ;    306 ;    755 ;    378 ;   -385 ;    751 ;   -585 ;      2 ;   -217 ;     10 ;      6 ;    133 ;    534 ;    617 ;      0 ;      0 ;
2018-11-06 01:00 ;    383 ;    396 ;    257 ;    110 ;    842 ;    290 ;    747 ;    365 ;   -356 ;    623 ;   -585 ;      3 ;   -353 ;      9 ;      7 ;    139 ;    532 ;    600 ;      0 ;      0 ;
2018-11-06 01:05 ;    434 ;    408 ;    255 ;    109 ;    842 ;    283 ;    739 ;    353 ;   -433 ;    573 ;   -585 ;      2 ;   -377 ;      9 ;      5 ;    157 ;    519 ;    606 ;      0 ;      0 ;
2018-11-06 01:10 ;    472 ;    401 ;    252 ;    112 ;    854 ;    276 ;    734 ;    339 ;   -442 ;    579 ;   -585 ;      4 ;   -372 ;      9 ;      4 ;    165 ;    521 ;    609 ;      0 ;      0 ;
2018-11-06 01:15 ;    475 ;    391 ;    252 ;    113 ;    848 ;    261 ;    725 ;    328 ;   -408 ;    595 ;   -585 ;      4 ;   -369 ;      9 ;      5 ;    165 ;    491 ;    618 ;      0 ;      0 ;
2018-11-06 01:20 ;    471 ;    388 ;    252 ;    112 ;    836 ;    263 ;    724 ;    324 ;   -387 ;    608 ;   -585 ;      4 ;   -369 ;      9 ;      3 ;    163 ;    479 ;    621 ;      0 ;      0 ;
